trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
59,False,"{'a': 0.1999999999999996, 'e': 0.17552040061699686}",25,6,-32.895616343842676,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
60,False,"{'a': 0.1999999999999996, 'e': 0.17033298882540943}",35,15,41.53567102852194,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.1999999999999996, 'e': 0.16529888822158656}",20,3,19.521473016600535,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.1999999999999996, 'e': 0.1604135677751728}",30,10,-7.415494279352259,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
63,False,"{'a': 0.1999999999999996, 'e': 0.15567263036799733}",30,13,-14.085301635617821,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
64,False,"{'a': 0.1999999999999996, 'e': 0.15107180883637086}",20,6,15.945124258766512,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.1999999999999996, 'e': 0.14660696213035015}",25,15,-34.54353386765986,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
66,False,"{'a': 0.1999999999999996, 'e': 0.1422740715865136}",25,8,30.82994462854504,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.1999999999999996, 'e': 0.13806923731089282}",30,10,-40.889647726577046,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
68,False,"{'a': 0.1999999999999996, 'e': 0.13398867466880499}",35,0,0.43635236972345837,"{0: 33, 1: 1, 2: 0, 3: 0, 4: 1}",0
69,False,"{'a': 0.1999999999999996, 'e': 0.1300287108784259}",30,16,22.645673625632938,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.1999999999999996, 'e': 0.12618578170503877}",25,9,30.520752357670887,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.1999999999999996, 'e': 0.1224564282529819}",35,27,13.978997461299558,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.1999999999999996, 'e': 0.11883729385240965}",30,8,22.225200926979067,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.1999999999999996, 'e': 0.11532512103806251}",20,6,24.12691328191046,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.1999999999999996, 'e': 0.11191674861732888}",20,7,21.257652823017914,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.1999999999999996, 'e': 0.10860910882495801}",25,13,13.39774518348505,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.1999999999999996, 'e': 0.10539922456186433}",25,0,-12.285384479426092,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
77,False,"{'a': 0.1999999999999996, 'e': 0.10228420671553748}",25,3,36.38821165781783,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.1999999999999996, 'e': 0.09926125155964566}",30,18,-1.9350362432103188,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
79,False,"{'a': 0.1999999999999996, 'e': 0.09632763823049303}",25,0,13.672639314542204,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
